"value","statistic","variable","country","total_asked","who_was_asked"
"Other (please specify)",8,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
NA,452,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
"Funding from family and friends",2,"h12020_hhd_hlp_typ_text","KE",377,"Owners/Managers of SMB Businesses"
"Grants from the government",1,"h12020_hhd_hlp_typ_text","KE",377,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",5,"h12020_hhd_hlp_typ_text","KE",377,"Owners/Managers of SMB Businesses"
NA,369,"h12020_hhd_hlp_typ_text","KE",377,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",6,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",2,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",2,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",4,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Unemployment benefits",6,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
NA,362,"h12020_hhd_hlp_typ_text","KH",389,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
"Funding from family and friends",3,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",2,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
"Grants from the government",13,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",1,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
"Other (please specify)",1,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
NA,112,"h12020_hhd_hlp_typ_text","KR",134,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",2,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",2,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Funding from family and friends",7,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",4,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",3,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",6,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Other (please specify)",1,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Unemployment benefits",3,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
NA,453,"h12020_hhd_hlp_typ_text","MM",481,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",2,"h12020_hhd_hlp_typ_text","MX",668,"Owners/Managers of SMB Businesses"
"Funding from family and friends",5,"h12020_hhd_hlp_typ_text","MX",668,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",7,"h12020_hhd_hlp_typ_text","MX",668,"Owners/Managers of SMB Businesses"
"Grants from the government",4,"h12020_hhd_hlp_typ_text","MX",668,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",3,"h12020_hhd_hlp_typ_text","MX",668,"Owners/Managers of SMB Businesses"
"Unemployment benefits",1,"h12020_hhd_hlp_typ_text","MX",668,"Owners/Managers of SMB Businesses"
NA,646,"h12020_hhd_hlp_typ_text","MX",668,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",7,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",3,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Funding from family and friends",5,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",10,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Grants from the government",33,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",12,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Other (please specify)",6,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
"Unemployment benefits",2,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
NA,424,"h12020_hhd_hlp_typ_text","MY",503,"Owners/Managers of SMB Businesses"
