value,statistic,variable,country,total_asked,who_was_asked
No,122,bus_cdt_text,SA,192,Owners/Managers of SMB Businesses
Yes,24,bus_cdt_text,SA,192,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,SA,192,Owners/Managers of SMB Businesses
I'm not sure,5,bus_cdt_text,SE,197,Owners/Managers of SMB Businesses
No,133,bus_cdt_text,SE,197,Owners/Managers of SMB Businesses
Yes,55,bus_cdt_text,SE,197,Owners/Managers of SMB Businesses
NA,4,bus_cdt_text,SE,197,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,SG,82,Owners/Managers of SMB Businesses
No,64,bus_cdt_text,SG,82,Owners/Managers of SMB Businesses
Yes,11,bus_cdt_text,SG,82,Owners/Managers of SMB Businesses
NA,1,bus_cdt_text,SG,82,Owners/Managers of SMB Businesses
I'm not sure,2,bus_cdt_text,SI,81,Owners/Managers of SMB Businesses
No,62,bus_cdt_text,SI,81,Owners/Managers of SMB Businesses
Yes,14,bus_cdt_text,SI,81,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,SI,81,Owners/Managers of SMB Businesses
I'm not sure,9,bus_cdt_text,SK,182,Owners/Managers of SMB Businesses
No,125,bus_cdt_text,SK,182,Owners/Managers of SMB Businesses
Yes,45,bus_cdt_text,SK,182,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,SK,182,Owners/Managers of SMB Businesses
I'm not sure,9,bus_cdt_text,SN,72,Owners/Managers of SMB Businesses
No,58,bus_cdt_text,SN,72,Owners/Managers of SMB Businesses
Yes,3,bus_cdt_text,SN,72,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,SN,72,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,SV,207,Owners/Managers of SMB Businesses
No,142,bus_cdt_text,SV,207,Owners/Managers of SMB Businesses
Yes,55,bus_cdt_text,SV,207,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,SV,207,Owners/Managers of SMB Businesses
I'm not sure,21,bus_cdt_text,TH,179,Owners/Managers of SMB Businesses
No,109,bus_cdt_text,TH,179,Owners/Managers of SMB Businesses
Yes,41,bus_cdt_text,TH,179,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,TH,179,Owners/Managers of SMB Businesses
I'm not sure,13,bus_cdt_text,TN,131,Owners/Managers of SMB Businesses
No,84,bus_cdt_text,TN,131,Owners/Managers of SMB Businesses
Yes,29,bus_cdt_text,TN,131,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,TN,131,Owners/Managers of SMB Businesses
I'm not sure,13,bus_cdt_text,TR,213,Owners/Managers of SMB Businesses
No,137,bus_cdt_text,TR,213,Owners/Managers of SMB Businesses
Yes,53,bus_cdt_text,TR,213,Owners/Managers of SMB Businesses
NA,10,bus_cdt_text,TR,213,Owners/Managers of SMB Businesses
I'm not sure,3,bus_cdt_text,TT,59,Owners/Managers of SMB Businesses
